user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.189	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_001719165.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__Erythrobacter litoralis	85.74	0.83	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	taxonomic classification defined by topology and ANI	N/A	GCA_011765465.1, s__Erythrobacter sp011765465, 95.0, 87.1, 0.88; GCF_900105095.1, s__Erythrobacter sp900105095, 95.0, 85.71, 0.85; GCA_011054555.1, s__Erythrobacter sp011054555, 95.0, 80.9, 0.72; GCF_002215495.1, s__Erythrobacter sp002215495, 95.0, 80.8, 0.67; GCF_001557325.1, s__Erythrobacter donghaensis_B, 95.0, 80.61, 0.57; GCF_006542605.1, s__Erythrobacter sp006542605, 95.0, 80.53, 0.62; GCF_001557115.1, s__Erythrobacter sp001557115, 95.0, 80.48, 0.57; GCF_001677335.1, s__Erythrobacter dokdonensis, 95.0, 80.45, 0.62; GCA_013822695.1, s__Erythrobacter sp013822695, 95.0, 80.43, 0.58; GCF_002155685.1, s__Erythrobacter colymbi, 95.0, 80.43, 0.65; GCF_000331285.1, s__Erythrobacter sp000331285, 95.0, 80.34, 0.64; GCA_903934325.1, s__Erythrobacter sp903934325, 95.0, 80.33, 0.63; GCA_013911835.1, s__Erythrobacter sp013911835, 95.0, 80.23, 0.49; GCF_002155425.1, s__Erythrobacter donghaensis, 95.0, 80.21, 0.65; GCF_000744895.1, s__Erythrobacter sp000744895, 95.0, 80.1, 0.65; GCF_001720465.1, s__Erythrobacter sp001720465, 95.0, 80.08, 0.58; GCF_002155695.1, s__Erythrobacter tepidarius, 95.0, 80.02, 0.61; GCF_900143235.1, s__Erythrobacter sanguineus, 95.0, 79.98, 0.61; GCF_002952215.1, s__Erythrobacter sp002952215, 95.0, 79.97, 0.59; GCF_001663175.1, s__Erythrobacter neustonensis, 95.0, 79.88, 0.58; GCF_000422985.1, s__Erythrobacter cryptus, 95.0, 79.83, 0.62; GCF_009905735.1, s__Erythrobacter sp009905735, 95.0, 79.75, 0.55; GCF_001556995.1, s__Erythrobacter sp001556995, 95.0, 79.75, 0.54; GCA_000714765.1, s__Erythrobacter sp000714765, 95.0, 79.65, 0.57; GCA_003724185.1, s__Erythrobacter sp003724185, 95.0, 79.62, 0.57; GCF_009828055.1, s__Erythrobacter ramosus, 95.0, 79.41, 0.57; GCF_002855495.1, s__Erythrobacter sp002855495, 95.0, 79.33, 0.51; GCA_002482865.1, s__Erythrobacter sp002482865, 95.0, 79.24, 0.51; GCA_004292705.1, s__Erythrobacter sp004292705, 95.0, 79.23, 0.57; GCA_002706445.1, s__Erythrobacter sp002706445, 95.0, 79.2, 0.49; GCF_009363635.1, s__Erythrobacter sp009363635, 95.0, 79.19, 0.52; GCF_001296025.1, s__Erythrobacter sp001296025, 95.0, 79.06, 0.5; GCF_000152865.1, s__Erythrobacter sp000152865, 95.0, 79.02, 0.46; GCA_002842735.1, s__Erythrobacter sp002842735, 95.0, 78.96, 0.52; GCF_003264115.1, s__Erythrobacter sp003264115, 95.0, 78.92, 0.45; GCA_001464915.1, s__Erythrobacter sp001464915, 95.0, 78.85, 0.52; GCA_009995225.1, s__Erythrobacter sp009995225, 95.0, 78.85, 0.49; GCA_001724215.1, s__Erythrobacter sp001724215, 95.0, 78.81, 0.46; GCA_002842925.1, s__Erythrobacter sp002842925, 95.0, 78.72, 0.46; GCA_013214365.1, s__Erythrobacter sp013214365, 95.0, 77.65, 0.35; GCF_001542875.1, s__Erythrobacter sp001542875, 95.0, 77.26, 0.26; GCF_007004095.1, s__Erythrobacter sp007004095, 95.0, 77.1, 0.25; GCF_000715015.1, s__Erythrobacter longus, 95.0, 76.95, 0.25; GCA_900149685.1, s__Erythrobacter sp900149685, 95.0, 76.32, 0.16	98.15	11	0.9936093511899695	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.19	d__Bacteria;p__OLB16;c__OLB16;o__SURF-12;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__OLB16;c__OLB16;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.95	11	0.7106249017579711	N/A
bin.192	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	80.23	11	0.7689745764998605	N/A
bin.193	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	96.07	11	0.6973526366257639	N/A
bin.194	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.26	11	0.7850936139008488	N/A
bin.195	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__Chitinivibrionales;f__Chitinispirillaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	61.45	11	0.6876767433678002	N/A
bin.196	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__S7086C20;s__	N/A	N/A	N/A	N/A	N/A	GCA_001751075.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__S7086C20;s__S7086C20 sp001751075	76.48	0.06	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__C00003060;f__C00003060;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.27	11	0.8692880984038387	N/A
bin.197	d__Bacteria;p__Myxococcota;c__WYAZ01;o__WYAZ01;f__WYAZ01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011526105.1	95.0	d__Bacteria;p__Myxococcota;c__WYAZ01;o__WYAZ01;f__WYAZ01;g__WYAZ01;s__WYAZ01 sp011526105	76.07	0.05	d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.31	11	0.7206416495935517	N/A
bin.198	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	67.6	11	0.7711787597496581	N/A
bin.199	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003105185.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__FEB-10;s__FEB-10 sp003105185	77.78	0.26	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__FEB-10;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.12	11	0.8322146000376055	N/A
bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Bernardetiaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	95.02	11	0.7711188514190317	N/A
bin.20	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__SM23-32;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	85.53	11	0.7670871125604745	N/A
bin.200	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__Owenweeksia;s__	N/A	N/A	N/A	N/A	N/A	GCF_000236705.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__Owenweeksia;s__Owenweeksia hongkongensis	76.05	0.04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__Owenweeksia;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002695025.1, s__Owenweeksia sp002695025, 95.0, 76.4, 0.06	78.22	11	0.9084182414380726	N/A
bin.201	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__JAAAPH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908415.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__JAAAPH01;s__JAAAPH01 sp009908415	94.14	0.7	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	84.32	11	0.9926125569530385	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.202	d__Bacteria;p__;c__;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__;c__;o__;f__;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	61.25	11	0.3993531481910363	N/A
bin.203	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__UBA2268;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	57.4	11	0.7530511979289437	N/A
bin.204	d__Bacteria;p__Omnitrophota;c__Omnitrophia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	86.14	11	0.49741861728080417	N/A
bin.205	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__	taxonomic classification defined by topology and ANI	N/A	GCA_011390615.1, s__Desulfotignum sp011390615, 95.0, 89.62, 0.72; GCA_011390335.1, s__Desulfotignum sp011390335, 95.0, 89.21, 0.8; GCA_011389715.1, s__Desulfotignum sp011389715, 95.0, 89.06, 0.57; GCA_011389575.1, s__Desulfotignum sp011389575, 95.0, 86.52, 0.69; GCA_011390235.1, s__Desulfotignum sp011390235, 95.0, 85.97, 0.66; GCA_011390695.1, s__Desulfotignum sp011390695, 95.0, 85.95, 0.6; GCA_011390635.1, s__Desulfotignum sp011390635, 95.0, 84.03, 0.78; GCA_011389555.1, s__Desulfotignum sp011389555, 95.0, 81.7, 0.52; GCF_000421285.1, s__Desulfotignum balticum, 96.875, 80.9, 0.55; GCA_011389835.1, s__Desulfotignum sp011389835, 95.0, 80.86, 0.52; GCF_000350545.1, s__Desulfotignum phosphitoxidans, 96.875, 80.85, 0.57	80.6	11	0.9881566446084012	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.206	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Simkaniaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	83.76	11	0.7413502221413519	N/A
bin.207	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000620765.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__Desulfovermiculus halophilus	78.88	0.33	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	82.07	11	0.932797410568169	N/A
bin.208	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_007119405.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SKPT01;s__SKPT01 sp007119405	76.14	0.15	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	59.68	11	0.8332449451445223	N/A
bin.209	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	90.37	11	0.9189489530133474	N/A
bin.210	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__REEL01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_007695095.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__REEL01;g__REEL01;s__REEL01 sp007695095	74.7	0.03	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	70.16	11	0.7735948597124256	N/A
bin.212	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__WN38;s__	N/A	N/A	N/A	N/A	N/A	GCF_003185655.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__WN38;s__WN38 sp003185655	79.03	0.39	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__DSM-45221;g__WN38;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003566795.1, s__WN38 sp003566795, 95.0, 78.32, 0.29	83.24	11	0.966030558179623	N/A
bin.213	d__Bacteria;p__OLB16;c__OLB16;o__SURF-12;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__OLB16;c__OLB16;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	72.13	11	0.7279196283689857	N/A
bin.214	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__	N/A	N/A	N/A	N/A	N/A	GCF_000620765.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__Desulfovermiculus halophilus	79.38	0.45	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	91.22	11	0.9369950818941106	N/A
bin.215	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JABSRG01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013215165.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JABSRG01;g__JABSRG01;s__JABSRG01 sp013215165	74.53	0.01	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	77.43	11	0.7720106079831587	N/A
bin.216	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002685935.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__GCA-2685935;s__GCA-2685935 sp002685935	76.44	0.08	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.75	11	0.7899412266240264	N/A
bin.217	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	84.08	11	0.7224534178584036	N/A
bin.219	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Marinisomatota;c__UBA2242;o__UBA2242;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	86.7	11	0.6684883037756658	N/A
bin.22	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__QGGB01;s__	N/A	N/A	N/A	N/A	N/A	GCF_003150675.1	95.0	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__QGGB01;s__QGGB01 sp003150675	80.79	0.64	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Balneolales;f__Balneolaceae;g__QGGB01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003561515.1, s__QGGB01 sp003561515, 95.0, 76.63, 0.12; GCA_007117235.1, s__QGGB01 sp007117235, 95.0, 76.27, 0.08; GCA_007693295.1, s__QGGB01 sp007693295, 95.0, 76.27, 0.13; GCA_007118525.1, s__QGGB01 sp007118525, 95.0, 76.08, 0.13	93.11	11	0.9739738836251911	N/A
bin.220	d__Bacteria;p__KSB1;c__UBA2214;o__AABM5-25-91;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__KSB1;c__UBA2214;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	92.52	11	0.6091722808477237	N/A
bin.221	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002685935.1	95.0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__GCA-2685935;s__GCA-2685935 sp002685935	75.81	0.09	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	89.99	11	0.8007502515425027	N/A
bin.222	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__SLSP01;g__G713;s__	N/A	N/A	N/A	N/A	N/A	GCA_011192175.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__SLSP01;g__G713;s__G713 sp011192175	76.2	0.09	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__SLSP01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.39	11	0.8758063942114935	N/A
bin.224	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__	N/A	N/A	N/A	N/A	N/A	GCA_013214265.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__DT-110 sp013214265	76.23	0.04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	97.44	11	0.9217056264951654	N/A
bin.226	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__PWMO01;g__JAAAOH01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__PWMO01;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.9	11	0.9402660850766363	N/A
bin.227	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Salinibacteraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	91.05	11	0.88076731539928	N/A
bin.228	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__	N/A	N/A	N/A	N/A	N/A	GCA_013214265.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__DT-110;s__DT-110 sp013214265	76.52	0.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	92.28	11	0.921329733065127	N/A
bin.229	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_009908855.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__JAAAOM01;s__JAAAOM01 sp009908855	76.45	0.03	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	96.72	11	0.8304452261071597	N/A
bin.23	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SPDA01;f__SPDA01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_004525155.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SPDA01;f__SPDA01;g__SPDA01;s__SPDA01 sp004525155	75.8	0.03	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__SPDA01;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	91.98	11	0.7440501142458127	N/A
bin.230	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__;s__	taxonomic novelty determined using RED	N/A	N/A	93.91	11	0.9214452013774747	N/A
bin.233	d__Bacteria;p__KSB1;c__UBA2214;o__UBA2214;f__Zgenome-0027;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__KSB1;c__UBA2214;o__UBA2214;f__Zgenome-0027;g__;s__	taxonomic novelty determined using RED	N/A	N/A	90.83	11	0.8405808082247108	N/A
bin.234	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	85.45	11	0.5827890489960463	N/A
bin.235	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__	N/A	N/A	N/A	N/A	N/A	GCF_001443605.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__Salinivirga cyanobacteriivorans	91.22	0.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Salinivirgaceae;g__Salinivirga;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002869335.1, s__Salinivirga sp002869335, 95.0, 76.87, 0.13	96.33	11	0.9919220021506661	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.236	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__	ANI	N/A	GCA_007116535.1, s__Psychroflexus sp007116535, 95.0, 76.89, 0.07; GCF_000355905.1, s__Psychroflexus gondwanensis, 95.0, 76.53, 0.03; GCF_010820555.1, s__Psychroflexus sp010820555, 95.0, 76.44, 0.05; GCF_003931895.1, s__Psychroflexus sp003931895, 95.0, 76.38, 0.11; GCF_900129035.1, s__Psychroflexus salarius, 95.0, 76.35, 0.05; GCF_900099815.1, s__Psychroflexus sediminis, 95.0, 76.33, 0.05; GCF_006120725.1, s__Psychroflexus sp006120725, 95.0, 76.3, 0.13; GCF_011089875.1, s__Psychroflexus maritimus, 95.0, 76.21, 0.05; GCA_014640175.1, s__Psychroflexus salis, 95.0, 76.17, 0.05; GCF_004010055.1, s__Psychroflexus aestuariivivens, 95.0, 76.12, 0.04; GCF_000378765.1, s__Psychroflexus tropicus, 95.0, 76.1, 0.05; GCA_014640195.1, s__Psychroflexus planctonicus, 95.0, 76.1, 0.06; GCF_000153485.2, s__Psychroflexus torquis, 95.0, 76.05, 0.04; GCA_003565575.1, s__Psychroflexus sp003565575, 95.0, 75.97, 0.03; GCA_003564185.1, s__Psychroflexus sp003564185, 95.0, 75.95, 0.05; GCF_900107595.1, s__Psychroflexus halocasei, 95.0, 75.89, 0.05; GCF_002836055.1, s__Psychroflexus sp002836055, 95.0, 75.67, 0.03	95.22	11	0.9707530619963236	N/A
bin.237	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Pseudohaliea;s__	N/A	N/A	N/A	N/A	N/A	GCF_000764025.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Pseudohaliea;s__Pseudohaliea rubra	79.1	0.43	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	89.36	11	0.9471560215243806	N/A
